ZIPCODE,Year,Quarter,NSA,Index_Type
11,1995,3,105.59,Native 3-Digit ZIP index
11,1995,4,106.60,Native 3-Digit ZIP index
11,1996,1,107.78,Native 3-Digit ZIP index
11,1996,2,106.96,Native 3-Digit ZIP index
11,1996,3,101.14,Native 3-Digit ZIP index
11,1996,4,103.32,Native 3-Digit ZIP index
11,1997,1,104.74,Native 3-Digit ZIP index
11,1997,2,107.07,Native 3-Digit ZIP index
11,1997,3,107.14,Native 3-Digit ZIP index
11,1997,4,106.41,Native 3-Digit ZIP index
11,1998,1,111.54,Native 3-Digit ZIP index
11,1998,2,112.65,Native 3-Digit ZIP index
11,1998,3,113.82,Native 3-Digit ZIP index
11,1998,4,114.98,Native 3-Digit ZIP index
11,1999,1,115.40,Native 3-Digit ZIP index
11,1999,2,115.42,Native 3-Digit ZIP index
11,1999,3,118.12,Native 3-Digit ZIP index
11,1999,4,117.17,Native 3-Digit ZIP index
11,2000,1,120.56,Native 3-Digit ZIP index
11,2000,2,120.81,Native 3-Digit ZIP index
11,2000,3,124.03,Native 3-Digit ZIP index
11,2000,4,126.16,Native 3-Digit ZIP index
11,2001,1,130.20,Native 3-Digit ZIP index
11,2001,2,132.95,Native 3-Digit ZIP index
11,2001,3,133.78,Native 3-Digit ZIP index
11,2001,4,139.51,Native 3-Digit ZIP index
11,2002,1,142.65,Native 3-Digit ZIP index
11,2002,2,147.75,Native 3-Digit ZIP index
11,2002,3,150.61,Native 3-Digit ZIP index
11,2002,4,154.56,Native 3-Digit ZIP index
11,2003,1,158.68,Native 3-Digit ZIP index
11,2003,2,159.58,Native 3-Digit ZIP index
11,2003,3,165.29,Native 3-Digit ZIP index
11,2003,4,169.37,Native 3-Digit ZIP index
11,2004,1,174.04,Native 3-Digit ZIP index
11,2004,2,178.73,Native 3-Digit ZIP index
11,2004,3,185.90,Native 3-Digit ZIP index
11,2004,4,190.96,Native 3-Digit ZIP index
11,2005,1,195.78,Native 3-Digit ZIP index
11,2005,2,197.31,Native 3-Digit ZIP index
11,2005,3,207.58,Native 3-Digit ZIP index
11,2005,4,211.87,Native 3-Digit ZIP index
11,2006,1,213.49,Native 3-Digit ZIP index
11,2006,2,214.16,Native 3-Digit ZIP index
11,2006,3,214.07,Native 3-Digit ZIP index
11,2006,4,217.06,Native 3-Digit ZIP index
11,2007,1,214.15,Native 3-Digit ZIP index
11,2007,2,218.81,Native 3-Digit ZIP index
11,2007,3,212.42,Native 3-Digit ZIP index
11,2007,4,213.54,Native 3-Digit ZIP index
11,2008,1,209.31,Native 3-Digit ZIP index
11,2008,2,202.00,Native 3-Digit ZIP index
11,2008,3,196.95,Native 3-Digit ZIP index
11,2008,4,194.12,Native 3-Digit ZIP index
11,2009,1,198.06,Native 3-Digit ZIP index
11,2009,2,193.17,Native 3-Digit ZIP index
11,2009,3,191.09,Native 3-Digit ZIP index
11,2009,4,192.21,Native 3-Digit ZIP index
11,2010,1,190.56,Native 3-Digit ZIP index
11,2010,2,187.78,Native 3-Digit ZIP index
11,2010,3,189.72,Native 3-Digit ZIP index
11,2010,4,190.02,Native 3-Digit ZIP index
11,2011,1,182.78,Native 3-Digit ZIP index
11,2011,2,183.81,Native 3-Digit ZIP index
11,2011,3,183.72,Native 3-Digit ZIP index
11,2011,4,184.05,Native 3-Digit ZIP index
11,2012,1,182.24,Native 3-Digit ZIP index
11,2012,2,177.80,Native 3-Digit ZIP index
11,2012,3,179.48,Native 3-Digit ZIP index
11,2012,4,180.71,Native 3-Digit ZIP index
11,2013,1,176.93,Native 3-Digit ZIP index
11,2013,2,180.11,Native 3-Digit ZIP index
11,2013,3,178.59,Native 3-Digit ZIP index
11,2013,4,181.03,Native 3-Digit ZIP index
11,2014,1,177.58,Native 3-Digit ZIP index
11,2014,2,184.00,Native 3-Digit ZIP index
11,2014,3,183.36,Native 3-Digit ZIP index
11,2014,4,181.65,Native 3-Digit ZIP index
11,2015,1,184.11,Native 3-Digit ZIP index
11,2015,2,185.14,Native 3-Digit ZIP index
11,2015,3,189.09,Native 3-Digit ZIP index
11,2015,4,186.19,Native 3-Digit ZIP index
11,2016,1,187.15,Native 3-Digit ZIP index
11,2016,2,189.79,Native 3-Digit ZIP index
11,2016,3,193.35,Native 3-Digit ZIP index
11,2016,4,192.08,Native 3-Digit ZIP index
11,2017,1,191.45,Native 3-Digit ZIP index
11,2017,2,203.71,Native 3-Digit ZIP index
11,2017,3,204.63,Native 3-Digit ZIP index
11,2017,4,199.83,Native 3-Digit ZIP index
11,2018,1,207.75,Native 3-Digit ZIP index
11,2018,2,214.13,Native 3-Digit ZIP index
11,2018,3,215.85,Native 3-Digit ZIP index
11,2018,4,214.01,Native 3-Digit ZIP index
11,2019,1,220.09,Native 3-Digit ZIP index
11,2019,2,220.32,Native 3-Digit ZIP index
11,2019,3,224.89,Native 3-Digit ZIP index
11,2019,4,225.40,Native 3-Digit ZIP index
11,2020,1,230.64,Native 3-Digit ZIP index
11,2020,2,234.39,Native 3-Digit ZIP index
11,2020,3,236.61,Native 3-Digit ZIP index
11,2020,4,247.87,Native 3-Digit ZIP index
11,2021,1,253.65,Native 3-Digit ZIP index
11,2021,2,273.77,Native 3-Digit ZIP index
11,2021,3,283.79,Native 3-Digit ZIP index
11,2021,4,296.48,Native 3-Digit ZIP index
12,1995,1,100.00,Native 3-Digit ZIP index
12,1995,2,107.30,Native 3-Digit ZIP index
12,1995,3,108.53,Native 3-Digit ZIP index
12,1995,4,111.58,Native 3-Digit ZIP index
12,1996,1,111.35,Native 3-Digit ZIP index
12,1996,2,106.74,Native 3-Digit ZIP index
12,1996,3,110.30,Native 3-Digit ZIP index
12,1996,4,117.24,Native 3-Digit ZIP index
12,1997,1,112.47,Native 3-Digit ZIP index
12,1997,2,112.16,Native 3-Digit ZIP index
12,1997,3,110.38,Native 3-Digit ZIP index
12,1997,4,115.43,Native 3-Digit ZIP index
12,1998,1,115.16,Native 3-Digit ZIP index
12,1998,2,114.28,Native 3-Digit ZIP index
12,1998,3,115.06,Native 3-Digit ZIP index
12,1998,4,115.60,Native 3-Digit ZIP index
12,1999,1,118.08,Native 3-Digit ZIP index
12,1999,2,115.65,Native 3-Digit ZIP index
12,1999,3,120.96,Native 3-Digit ZIP index
12,1999,4,122.56,Native 3-Digit ZIP index
12,2000,1,126.02,Native 3-Digit ZIP index
12,2000,2,122.40,Native 3-Digit ZIP index
12,2000,3,124.25,Native 3-Digit ZIP index
12,2000,4,130.63,Native 3-Digit ZIP index
